type	entry	sl	tp	risk	profit	exit_price	pnl	balance	total_trades	timestamp
long	11.875208133954349	1.13113	33.363364401863045	20.0	40.0	1.1229336824445808	-20.0	980.0	1	2022-08-10 22:00:00
long	1.0928098806312136	0.9631400000000001	1.3521496418936407	19.6	39.2	0.9607778982152122	-19.6	960.4	2	2022-08-11 13:00:00
long	1.2786801471391993	0.9683400000000001	1.8993604414175977	19.208	38.416	0.9498820550061237	-19.208	941.192	3	2022-08-17 11:00:00
long	1.8516733135465482	0.9734100000000001	3.6081999406396443	18.82384	37.64768	0.9492411230526436	-18.82384	922.36816	4	2022-09-09 15:00:00
long	1.192154333419971	0.9656500000000001	1.6451630002599125	18.4473632	36.8947264	0.9191173212392836	-18.4473632	903.9207968	5	2022-09-16 17:00:00
long	1.981782500102138	0.9726100000000001	4.000127500306414	18.078415936	36.156831872	0.9415499396109337	-18.078415936	885.842380864	6	2023-07-11 08:00:00
long	1.1825403541178279	0.9643300000000001	1.6189610623534834	17.71684761728	35.43369523456	0.9492411230526436	-17.71684761728	868.12553324672	7	2023-07-14 20:00:00
long	0.9735965372847265	0.9646800000000001	0.9914296118541793	17.3625106649344	34.7250213298688	0.9018121584954379	-17.3625106649344	850.7630225817857	8	2023-07-17 08:00:00
long	1.023589229655838	0.9615300000000001	1.1477076889675137	17.015260451635715	34.03052090327143	0.9364224839831293	-17.015260451635715	833.7477621301499	9	2023-07-17 13:00:00
long	0.985133312447288	0.9599400000000001	1.0355199373418635	16.674955242602998	33.349910485205996	1.0415353243531564	33.349910485205996	867.0976726153559	10	2023-08-09 10:00:00
long	1.2094594961638165	0.96491	1.6985584884914495	17.34195345230712	34.68390690461424	0.9486001910991708	-17.34195345230712	849.7557191630488	11	2023-09-28 10:00:00
long	0.9793649248660037	0.96452	1.009054774598011	16.995114383260976	33.99022876652195	1.0505083717018193	33.99022876652195	883.7459479295707	12	2023-09-28 14:00:00
long	0.9652644218895365	0.9602900000000001	0.9752132656686094	17.674918958591412	35.349837917182825	1.1402388451884264	35.349837917182825	919.0957858467535	13	2023-09-29 09:00:00
long	0.9883379722146665	0.9596500000000001	1.045713916643999	18.381915716935072	36.763831433870145	0.9293722324948922	-18.381915716935072	900.7138701298185	14	2023-11-07 11:00:00
long	1.0030794071446065	0.9618800000000001	1.0854782214338194	18.01427740259637	36.02855480519274	0.9505229869595965	-18.01427740259637	882.6995927272221	15	2023-11-07 23:00:00
long	1.046662779980961	0.9619200000000001	1.2161483399428825	17.653991854544444	35.30798370908889	1.244069821651508	35.30798370908889	918.007576436311	16	2023-11-10 12:00:00
long	1.2261237269541823	0.9631000000000001	1.7521711808625466	18.36015152872622	36.72030305745244	0.9505229869595965	-18.36015152872622	899.6474249075848	17	2023-11-13 16:00:00
long	0.9806467887729565	0.9611200000000001	1.0197003663188693	17.992948498151694	35.98589699630339	1.0473037119344408	35.98589699630339	935.6333219038881	18	2023-11-14 09:00:00
long	1.1421616410488593	0.9623200000000001	1.5018449231465778	18.712666438077765	37.42533287615553	0.9268085046809936	-18.712666438077765	916.9206554658103	19	2023-11-20 16:00:00
long	1.0620451468643808	0.9622400000000001	1.2616554405931422	18.338413109316207	36.676826218632414	0.9530867147735022	-18.338413109316207	898.5822423564941	20	2023-11-27 09:00:00
long	1.1652351913739822	0.9620500000000001	1.5716055741219466	17.971644847129884	35.94328969425977	1.7042589642471195	35.94328969425977	934.5255320507539	21	2024-03-19 10:00:00
long	1.586327484807571	0.96679	2.825402454422713	18.690510641015077	37.381021282030154	0.8550241258917051	-18.690510641015077	915.8350214097388	22	2024-04-17 04:00:00
long	1.2350967743028451	0.9564400000000001	1.7924103229085353	18.31670042819478	36.63340085638956	1.8100127365706267	36.63340085638956	952.4684222661284	23	2024-04-22 02:00:00
long	1.982423432055611	0.97479	3.997690296166833	19.049368445322568	38.098736890645135	0.9383452798435551	-19.049368445322568	933.4190538208059	24	2024-06-06 12:00:00
long	1.0825549693756051	0.96252	1.3226249081268153	18.668381076416118	37.336762152832236	0.9524457828200222	-18.668381076416118	914.7506727443897	25	2024-06-06 23:00:00
long	1.1017829279798836	0.96252	1.3803087839396508	18.295013454887794	36.59002690977559	0.9120670697510465	-18.295013454887794	896.4556592895019	26	2024-06-07 13:00:00
long	1.4382722035546693	0.9681200000000001	2.378576610664008	17.92911318579004	35.85822637158008	0.9069396141232422	-17.92911318579004	878.5265461037119	27	2024-07-22 11:00:00
short	-0.9812459208164238	0.93442	-4.812577762449271	17.570530922074237	35.141061844148474	0.9575732384478265	-17.570530922074237	860.9560151816377	28	2025-03-04 02:00:00
